,train loss,true loss,val acc
58,542.5903005599976,638.7496058940887,0.406
59,541.192435503006,638.5319429636002,0.407
60,540.7303560972214,631.5887980461121,0.4045
61,537.0457060337067,624.0756332874298,0.417
62,537.0348403453827,625.7852916717529,0.4205
63,535.6071337461472,621.9012603759766,0.4125
64,533.1047292947769,630.6677176952362,0.4125
65,534.086367726326,631.9730803966522,0.4105
66,529.8204181194305,633.3877410888672,0.4185
67,531.0089432001114,637.1563745737076,0.4135
68,528.9662275314331,629.6706968545914,0.416
69,526.8270690441132,612.0476491451263,0.435
70,527.7522785663605,617.3953063488007,0.4225
71,523.6927924156189,618.6411290168762,0.4155
72,524.8541386127472,602.5219151973724,0.422
73,520.8246661424637,604.2797515392303,0.4335
74,521.6269540786743,622.2717206478119,0.4265
75,519.8606557846069,604.9704130887985,0.4415
76,519.5839428901672,627.808477640152,0.421
77,516.7331113815308,615.7408061027527,0.4325
78,516.7525582313538,605.0239969491959,0.42
79,516.9469681978226,607.9314700365067,0.4245
80,515.2745728492737,601.64681661129,0.4175
81,514.4922236204147,586.9742003679276,0.4525
82,512.1086583137512,594.679681301117,0.447
83,512.9807682037354,604.1652588844299,0.434
84,511.0915776491165,603.873802781105,0.424
85,508.0007646083832,596.9517517089844,0.4385
86,509.552481174469,602.7137501239777,0.44
87,506.6576212644577,593.0136877298355,0.43
88,506.18663346767426,599.3822085857391,0.436
89,506.07585859298706,596.028960108757,0.436
90,505.95146548748016,595.5174878835678,0.4325
91,502.987517952919,593.2882159948349,0.4495
92,502.1365385055542,593.7974132299423,0.4325
93,501.4156137704849,579.6920872926712,0.4525
94,500.4047975540161,581.6666113138199,0.4365
95,499.00833427906036,575.6635233163834,0.449
96,498.1942501068115,585.5704046487808,0.447
97,499.0681226849556,576.9609657526016,0.4485
98,498.0302139520645,579.5137369632721,0.4365
99,496.19022727012634,575.9086736440659,0.4545
100,464.7163279056549,548.425629734993,0.4645
101,460.0783026814461,547.3320070505142,0.4635
102,456.68838876485825,543.6612017154694,0.4695
103,455.2933515906334,543.252633690834,0.46
104,454.6616756916046,545.9143807888031,0.4635
105,453.88418674468994,545.047532081604,0.466
106,453.02701210975647,539.6737974882126,0.4645
107,451.31035059690475,541.0867511034012,0.463
108,450.73659336566925,538.8806478977203,0.4615
109,450.284896671772,539.5050064325333,0.4645
110,450.0912420153618,536.2019877433777,0.466
111,449.2954222559929,537.2872657775879,0.4645
112,448.8951469063759,538.0284291505814,0.462
113,449.03909105062485,534.5768283009529,0.4675
114,446.9830613732338,537.079877614975,0.472
115,447.12864780426025,539.2183305025101,0.4635
116,446.28095173835754,537.2964457273483,0.4685
117,446.0470175743103,536.3675591945648,0.463
118,445.26393616199493,535.1075505018234,0.4695
119,445.2302371263504,533.5220942497253,0.466
120,445.56447863578796,536.8941212892532,0.463
121,444.94023275375366,533.4927046298981,0.471
122,444.0130124092102,532.7522531747818,0.4705
123,444.31213104724884,534.6307644844055,0.4625
124,442.8435300588608,531.4023864269257,0.4705
125,442.57957488298416,531.8825069665909,0.463
126,442.73916232585907,529.6585461497307,0.4685
127,441.9537690281868,531.3020598292351,0.4675
128,441.9285255074501,531.6813380718231,0.4725
129,442.01396930217743,532.6852015256882,0.4635
130,441.34766614437103,530.7334829568863,0.468
131,442.117628633976,526.0579575300217,0.472
132,440.64121556282043,531.8387821912766,0.469
133,437.98663234710693,528.3387964963913,0.4705
134,440.14019244909286,529.0017157793045,0.4685
135,438.856050491333,529.9291133880615,0.4665
136,439.2397001981735,532.2721648216248,0.4745
137,437.84261363744736,528.8804138302803,0.472
138,438.8360298871994,526.3293796181679,0.4675
139,437.7311181426048,529.8644935488701,0.47
140,437.072422683239,527.8341870903969,0.469
141,437.6951417326927,523.9053146839142,0.4675
142,437.29774886369705,526.3809943199158,0.471
143,436.54628920555115,528.9426328539848,0.475
144,436.2440390586853,529.8867410421371,0.47
145,436.4512855410576,523.6023832559586,0.4725
146,435.6471727490425,525.7416334152222,0.4665
147,435.10531920194626,525.1310075521469,0.473
148,435.6843828558922,524.1813417673111,0.478
